Gene,Mutation_Type,Pathogenicity
CFTR,Silent,Benign
BRCA1,Silent,Benign
HBB,Silent,Benign
TP53,Missense,Pathogenic
BRCA1,Frameshift,Benign
CFTR,Nonsense,Benign
BRCA1,Deletion,Pathogenic
TP53,Insertion,Benign
FBN1,Deletion,Benign
HBB,Missense,Benign
CYP2D6,Frameshift,Benign
FBN1,Insertion,Benign
HBB,Nonsense,Benign
BRCA1,Missense,Benign
BRCA1,Silent,Benign
CFTR,Silent,Benign
BRCA1,Silent,Benign
HBB,Missense,Benign
TP53,Nonsense,Benign
CFTR,Insertion,Pathogenic
TP53,Silent,Benign
CFTR,Missense,Benign
BRCA1,Missense,Benign
HBB,Insertion,Benign
CYP2D6,Silent,Benign
BRCA1,Nonsense,Benign
BRCA1,Missense,Benign
TP53,Frameshift,Benign
HBB,Insertion,Benign
HBB,Insertion,Benign
CYP2D6,Missense,Pathogenic
CFTR,Deletion,Benign
TP53,Frameshift,Benign
HBB,Frameshift,Benign
CYP2D6,Insertion,Benign
FBN1,Frameshift,Benign
CFTR,Nonsense,Benign
CFTR,Missense,Benign
TP53,Deletion,Benign
HBB,Silent,Pathogenic
FBN1,Deletion,Benign
CYP2D6,Deletion,Benign
BRCA1,Missense,Benign
CFTR,Silent,Benign
FBN1,Missense,Benign
FBN1,Silent,Benign
FBN1,Nonsense,Benign
CYP2D6,Frameshift,Benign
TP53,Frameshift,Benign
FBN1,Missense,Pathogenic
HBB,Frameshift,Benign
BRCA1,Frameshift,Benign
TP53,Deletion,Benign
HBB,Silent,Benign
CYP2D6,Deletion,Benign
CFTR,Deletion,Benign
FBN1,Deletion,Benign
CYP2D6,Frameshift,Benign
CFTR,Missense,Benign
HBB,Frameshift,Pathogenic
FBN1,Missense,Benign
FBN1,Nonsense,Benign
CFTR,Nonsense,Benign
HBB,Silent,Benign
BRCA1,Missense,Benign
FBN1,Nonsense,Benign
BRCA1,Silent,Benign
TP53,Nonsense,Benign
BRCA1,Frameshift,Benign
TP53,Missense,Pathogenic
CFTR,Nonsense,Benign
BRCA1,Missense,Benign
FBN1,Silent,Benign
CFTR,Deletion,Benign
TP53,Deletion,Benign
HBB,Deletion,Benign
HBB,Nonsense,Benign
CFTR,Deletion,Benign
FBN1,Deletion,Benign
HBB,Insertion,Benign
CYP2D6,Frameshift,Benign
CYP2D6,Missense,Benign
TP53,Nonsense,Pathogenic
CFTR,Silent,Benign
HBB,Insertion,Benign
BRCA1,Deletion,Benign
HBB,Missense,Benign
FBN1,Insertion,Benign
CYP2D6,Nonsense,Benign
BRCA1,Frameshift,Benign
FBN1,Nonsense,Benign
TP53,Insertion,Benign
CYP2D6,Frameshift,Benign
HBB,Nonsense,Benign
CYP2D6,Missense,Benign
FBN1,Silent,Benign
TP53,Missense,Pathogenic
BRCA1,Deletion,Benign
FBN1,Missense,Benign
